[2026-05-29 08:18:06] Experiment started.
[2026-05-29 08:18:06] Result folder: D:\桌面\MSDBO\4.25\MSDBO-KELM分类\MSDBO-KELM分类\result_metrics_runtime_rankings_20260529_081806
[2026-05-29 08:18:06] Dataset: D:\桌面\MSDBO\4.25\MSDBO-KELM分类\MSDBO-KELM分类\bankreshape.xlsx
[2026-05-29 08:18:06] Settings: pop=30, maxIter=100, runs=30, fitnessKFolds=5, metricKFolds=10, seedBase=20260529
[2026-05-29 08:18:06] Algorithms: QHDBO, IDBO, DBO, WOA, GWO, HHO, EVO, PO, NRBO, CPO, SWO, MSDBO
[2026-05-29 08:18:06] Algorithm 01/12 started: QHDBO
[2026-05-29 08:47:56] Algorithm 04/12 WOA run 08/30 OK: ACC=75.8036, MCC=0.5248, Sensitivity=73.7614, Specificity=79.3602, optTime=14.86s, evalTime=0.01s, totalTime=14.87s
[2026-05-29 08:48:13] Algorithm 04/12 WOA run 09/30 OK: ACC=74.9978, MCC=0.5109, Sensitivity=72.5460, Specificity=79.3039, optTime=16.49s, evalTime=0.01s, totalTime=16.50s
[2026-05-29 08:48:29] Algorithm 04/12 WOA run 10/30 OK: ACC=76.0080, MCC=0.5261, Sensitivity=74.2716, Specificity=78.7378, optTime=16.32s, evalTime=0.02s, totalTime=16.34s
[2026-05-29 08:48:45] Algorithm 04/12 WOA run 11/30 OK: ACC=77.0746, MCC=0.5517, Sensitivity=74.3925, Specificity=81.4336, optTime=15.92s, evalTime=0.03s, totalTime=15.95s
[2026-05-29 08:49:02] Algorithm 04/12 WOA run 12/30 OK: ACC=77.4580, MCC=0.5592, Sensitivity=75.6807, Specificity=80.9096, optTime=16.79s, evalTime=0.01s, totalTime=16.80s
[2026-05-29 08:49:19] Algorithm 04/12 WOA run 13/30 OK: ACC=75.8232, MCC=0.5244, Sensitivity=73.8611, Specificity=79.1520, optTime=17.03s, evalTime=0.01s, totalTime=17.04s
[2026-05-29 08:49:34] Algorithm 04/12 WOA run 14/30 OK: ACC=78.7022, MCC=0.5828, Sensitivity=76.9078, Specificity=82.2811, optTime=15.00s, evalTime=0.01s, totalTime=15.01s
[2026-05-29 08:49:48] Algorithm 04/12 WOA run 15/30 OK: ACC=75.7978, MCC=0.5244, Sensitivity=74.1160, Specificity=79.1501, optTime=14.25s, evalTime=0.01s, totalTime=14.27s
[2026-05-29 08:50:03] Algorithm 04/12 WOA run 16/30 OK: ACC=76.1312, MCC=0.5356, Sensitivity=74.3849, Specificity=80.0552, optTime=15.03s, evalTime=0.01s, totalTime=15.04s
[2026-05-29 08:50:18] Algorithm 04/12 WOA run 17/30 OK: ACC=79.1703, MCC=0.5869, Sensitivity=76.5633, Specificity=82.5127, optTime=14.37s, evalTime=0.01s, totalTime=14.38s
[2026-05-29 08:50:32] Algorithm 04/12 WOA run 18/30 OK: ACC=75.7616, MCC=0.5267, Sensitivity=75.1134, Specificity=78.8284, optTime=14.44s, evalTime=0.01s, totalTime=14.45s
[2026-05-29 08:50:46] Algorithm 04/12 WOA run 19/30 OK: ACC=72.8674, MCC=0.4620, Sensitivity=70.7040, Specificity=76.0740, optTime=13.92s, evalTime=0.01s, totalTime=13.93s
[2026-05-29 08:51:00] Algorithm 04/12 WOA run 20/30 OK: ACC=77.1732, MCC=0.5446, Sensitivity=74.7638, Specificity=79.9632, optTime=13.90s, evalTime=0.01s, totalTime=13.92s
[2026-05-29 08:51:15] Algorithm 04/12 WOA run 21/30 OK: ACC=77.9746, MCC=0.5642, Sensitivity=76.4818, Specificity=80.3716, optTime=14.89s, evalTime=0.01s, totalTime=14.90s
[2026-05-29 08:51:29] Algorithm 04/12 WOA run 22/30 OK: ACC=76.6217, MCC=0.5369, Sensitivity=73.4787, Specificity=80.3392, optTime=13.54s, evalTime=0.01s, totalTime=13.55s
[2026-05-29 08:51:42] Algorithm 04/12 WOA run 23/30 OK: ACC=75.6449, MCC=0.5192, Sensitivity=72.4774, Specificity=79.8514, optTime=13.68s, evalTime=0.01s, totalTime=13.69s
[2026-05-29 08:51:56] Algorithm 04/12 WOA run 24/30 OK: ACC=77.8928, MCC=0.5600, Sensitivity=76.6159, Specificity=79.8362, optTime=13.86s, evalTime=0.01s, totalTime=13.87s
[2026-05-29 08:52:09] Algorithm 04/12 WOA run 25/30 OK: ACC=71.5797, MCC=0.4397, Sensitivity=69.7421, Specificity=74.9244, optTime=13.36s, evalTime=0.01s, totalTime=13.37s
