Dataset,Algorithm,Run,Status,ErrorMessage,BestScore,BestC,BestKernelParameter,ACC,MCC,Sensitivity,Specificity,OptimizationRuntimeSeconds,EvaluationRuntimeSeconds,TotalRuntimeSeconds
bankreshape,WOA,24,ok,,0.242142495295991,20,1,77.8927536231884,0.559954260052171,76.6158841158841,79.8362054612055,13.8562159,0.0115088,13.8677278
bankreshape,WOA,25,ok,,0.249614633087277,17.1448869573857,2.94334249235284,71.5797101449275,0.439704730571636,69.7420634920635,74.9244023949906,13.3581293,0.0098657,13.3679978
bankreshape,WOA,26,ok,,0.225128455637574,4.4853116156023,1,74.5594202898551,0.498947485113764,72.0530303030303,78.454156954157,13.6949729,0.0111974,13.7061733
bankreshape,WOA,27,ok,,0.233639093935446,17.2680399901019,1,76.277536231884,0.533248099260114,76.2509573759574,78.4040518305224,13.6211925,0.0108714,13.6320669
bankreshape,WOA,28,ok,,0.229202851353307,16.0185448762134,1,74.5065217391304,0.498607293658642,71.7747668997669,78.8286713286713,13.5798953,0.011159,13.5910579
bankreshape,WOA,29,ok,,0.245880373425966,2.74505297029192,1,73.7463768115942,0.478936163371775,70.6425241425241,77.3782883782884,16.0360552,0.0148772,16.0509365
bankreshape,WOA,30,ok,,0.241628672745694,20,1,77.1108695652174,0.553013818548492,75.8698523698524,80.706610383081,14.3871535,0.0119261,14.3990829
bankreshape,GWO,1,ok,,0.241572586481401,20,1,78.3289855072464,0.572838694865027,77.1441107911696,80.6793206793207,13.8966171,0.0117148,13.9083356
bankreshape,GWO,2,ok,,0.225649515125199,5.39254510631644,1,76.5898550724638,0.541350420676037,74.3178488178488,80.4584304584304,14.5015548,0.0130221,14.5145809
bankreshape,GWO,3,ok,,0.224962006079027,11.7530685524024,1.27701732062653,71.5884057971014,0.439325422749323,69.2473082473083,75.1926961926962,14.2674905,0.0147529,14.2822461
bankreshape,GWO,4,ok,,0.237639311043566,20,1.12827606549365,76.7565217391304,0.546998443465337,76.8400210900211,79.0565545565546,14.8494245,0.0111309,14.8605589
bankreshape,GWO,5,ok,,0.237720726588508,19.7606640051548,1,75.0413043478261,0.502656562880591,73.2994227994228,77.3369963369963,13.694832,0.0136024,13.7084383
bankreshape,GWO,6,ok,,0.250341945288754,4.61691752534519,1,75.4702898550725,0.516656697568958,73.6437451437452,78.8943278943279,13.6854936,0.0110839,13.6965802
bankreshape,GWO,7,ok,,0.232848458532349,9.44170612105622,1,76.5811594202899,0.533498962098258,74.6340326340326,78.8524808524809,13.2137898,0.0211813,13.234974
bankreshape,GWO,8,ok,,0.220607179041829,18.3731585517011,1.11502662394646,75.8036231884058,0.524809350495665,73.7613636363636,79.3601953601953,13.0726455,0.0111359,13.0837847
bankreshape,GWO,9,ok,,0.216666666666667,20,1.06063572067665,74.9978260869565,0.510929370928563,72.5459671047906,79.3039183039183,12.9856774,0.0215197,13.0071999
bankreshape,GWO,10,ok,,0.221171660153423,20,1,76.0079710144928,0.526092039439461,74.2716499187087,78.7377622377622,13.1245146,0.0110158,13.1355328
bankreshape,GWO,11,ok,,0.25012483716891,20,1,77.0746376811594,0.551720627654519,74.3924825174825,81.4335664335664,13.102192,0.0100604,13.1122552
bankreshape,GWO,12,ok,,0.236633376754957,17.344795933273,1.5520406285583,77.4579710144928,0.559190887759105,75.6807212395448,80.9095904095904,13.6993443,0.0122024,13.7115501
bankreshape,GWO,13,ok,,0.228898899985526,20,1,75.8231884057971,0.524360494253925,73.8611388611389,79.1519591519591,13.377929,0.0114995,13.3894317
bankreshape,GWO,14,ok,,0.220833333333333,20,1,78.7021739130435,0.582828480458498,76.9078421578422,82.2810522810523,14.2225462,0.0137345,14.2362839
bankreshape,GWO,15,ok,,0.203596757852077,18.9878361970709,1.42609368980659,75.7978260869565,0.52443409049226,74.1159951159951,79.1500721500721,13.148582,0.0104327,13.1590183
bankreshape,GWO,16,ok,,0.254032783326096,20,1,76.1311594202898,0.535617081308614,74.3849483849484,80.0551948051948,13.8541273,0.0113776,13.8655077
bankreshape,GWO,17,ok,,0.237451150673035,16.0956076876136,1.06398261411923,79.1702898550725,0.586862698890032,76.5633255633256,82.512654012654,13.6187734,0.0213641,13.6401411
bankreshape,GWO,18,ok,,0.245310464611377,17.295724971194,1,75.7615942028985,0.526663368020635,75.1134421134421,78.8284215784216,13.6234798,0.012491,13.635974
bankreshape,GWO,19,ok,,0.233203068461427,19.1790696997162,1,72.8673913043478,0.461958915681789,70.7039904539905,76.0740093240093,14.7510307,0.0172863,14.7683209
bankreshape,GWO,20,ok,,0.229808944854538,8.39572087234727,1,77.1731884057971,0.545258488579703,74.4153069153069,80.3111888111888,16.7375393,0.0153677,16.7529109
bankreshape,GWO,21,ok,,0.25,18.548119617849,1,77.9746376811594,0.56424949129423,76.481795981796,80.3716283716284,14.2335696,0.0118856,14.2454585
bankreshape,GWO,22,ok,,0.249348675640469,18.8183232167168,1,76.6217391304348,0.536878486790147,73.478687978688,80.3391608391608,15.1398003,0.01268,15.1524836
bankreshape,GWO,23,ok,,0.229302359241569,16.9792215800958,1.07249984771732,76.0615942028985,0.526851376567526,72.9260739260739,80.1544011544012,15.0466273,0.0126049,15.0592348
bankreshape,GWO,24,ok,,0.242142495295991,16.3958125344773,1,77.8927536231884,0.559954260052171,76.6158841158841,79.8362054612055,15.0690809,0.0115074,15.0805914
bankreshape,GWO,25,ok,,0.249525980605008,9.47497456500878,19.2484494233167,69.1115942028986,0.390840585317705,67.6012321012321,72.2633542927661,13.8421819,0.0120075,13.8541929
bankreshape,GWO,26,ok,,0.220961788970907,5.63295685787983,1.14947022292294,74.5594202898551,0.499361400900097,72.3140193140193,78.3766168472051,14.5074391,0.0116326,14.5190748
bankreshape,GWO,27,ok,,0.233639093935446,17.7464488423749,1,76.277536231884,0.533248099260114,76.2509573759574,78.4040518305224,15.4249534,0.0160163,15.4409735
bankreshape,GWO,28,ok,,0.229202851353307,15.9846706147931,1,74.5065217391304,0.498607293658642,71.7747668997669,78.8286713286713,15.1612524,0.0152169,15.1764725
bankreshape,GWO,29,ok,,0.245880373425966,2.78335132579292,1,73.7463768115942,0.478936163371775,70.6425241425241,77.3782883782884,14.9912128,0.0115575,15.0027733
bankreshape,GWO,30,ok,,0.241628672745694,18.4728578796199,1,77.5275362318841,0.562250669097089,76.1262626262626,81.3884285648992,14.7386523,0.0139043,14.7525598
bankreshape,HHO,1,ok,,0.241572586481401,20,1,78.3289855072464,0.572838694865027,77.1441107911696,80.6793206793207,33.4660315,0.0117334,33.4777684
bankreshape,HHO,2,ok,,0.225649515125199,5.48056053286406,1,76.5898550724638,0.541350420676037,74.3178488178488,80.4584304584304,35.4750274,0.011772,35.486804
bankreshape,HHO,3,ok,,0.224962006079027,13.758595847432,1.37281314729041,71.5884057971014,0.439325422749323,69.2473082473083,75.1926961926962,34.4910847,0.0105078,34.5015967
bankreshape,HHO,4,ok,,0.237639311043566,20,1.12586350505907,76.7565217391304,0.546998443465337,76.8400210900211,79.0565545565546,30.7806914,0.0122187,30.792913
bankreshape,HHO,5,ok,,0.237720726588508,20,1,74.6246376811594,0.494052374083224,72.9660894660895,76.8608058608059,33.4597459,0.0122536,33.4720025
bankreshape,HHO,6,ok,,0.250341945288754,4.22522582344122,1,75.8702898550725,0.523045482411942,74.1437451437452,78.8943278943279,32.6226016,0.0128622,32.6354673
bankreshape,HHO,7,ok,,0.232848458532349,9.41588326791542,1,76.5811594202899,0.533498962098258,74.6340326340326,78.8524808524809,31.3947102,0.0144205,31.4091337
bankreshape,HHO,8,ok,,0.220607179041829,17.4948408751936,1.11598336808834,75.8036231884058,0.524809350495665,73.7613636363636,79.3601953601953,34.8882022,0.0128538,34.9010588
bankreshape,HHO,9,ok,,0.216666666666667,17.524863902746,1.02345907794992,74.5811594202899,0.503032745195493,71.8641489229725,79.1757131757132,33.6482871,0.0104797,33.6587695
bankreshape,HHO,10,ok,,0.221171660153423,19.4798469474512,1,76.0079710144928,0.526092039439461,74.2716499187087,78.7377622377622,32.8118372,0.010521,32.8223609
bankreshape,HHO,11,ok,,0.25012483716891,13.5461530562219,1.0347281547279,75.0079710144928,0.50661220606064,72.6828171828172,78.3669108669109,34.9026658,0.0112239,34.9138929
