"Algorithm","Run","Seed","Status","OptimizationRuntimeSeconds","EvaluationRuntimeSeconds","TotalRuntimeSeconds"
"CPO","5","20260534","ok","0.7406385","0.0103649","0.7510072"
"CPO","6","20260535","ok","0.6723203","0.0113128","0.6836364"
"CPO","7","20260536","ok","0.6676238","0.0231206","0.6907478"
"CPO","8","20260537","ok","0.7533875","0.0125822","0.7659726"
"CPO","9","20260538","ok","0.6785489","0.0120466","0.6905989"
"CPO","10","20260539","ok","0.693383","0.0113781","0.7047652"
"CPO","11","20260540","ok","0.6885716","0.010651","0.6992251"
"CPO","12","20260541","ok","0.6940145","0.0115546","0.7055718"
"CPO","13","20260542","ok","0.7077235","0.0113692","0.7190958"
"CPO","14","20260543","ok","0.6792166","0.0233164","0.7025358"
"CPO","15","20260544","ok","0.6577009","0.0104546","0.6681581"
"CPO","16","20260545","ok","0.6600184","0.0096811","0.6697036"
"CPO","17","20260546","ok","0.6623201","0.0115147","0.6738379"
"CPO","18","20260547","ok","0.6560757","0.0107443","0.6674482"
"CPO","19","20260548","ok","0.6806289","0.0106928","0.6913243"
"CPO","20","20260549","ok","0.6531125","0.010756","0.6638718"
"CPO","21","20260550","ok","0.6768573","0.0113937","0.6882541"
"CPO","22","20260551","ok","0.6711978","0.0109017","0.6821027"
"CPO","23","20260552","ok","0.6583233","0.010982","0.6693081"
"CPO","24","20260553","ok","0.6525725","0.0103919","0.6629671"
"CPO","25","20260554","ok","0.6573036","0.0097915","0.6670975"
"CPO","26","20260555","ok","0.6871094","0.0216965","0.7088131"
"CPO","27","20260556","ok","0.6742767","0.0119682","0.6862475"
"CPO","28","20260557","ok","0.6616326","0.0106532","0.6722886"
"CPO","29","20260558","ok","0.6808372","0.0106285","0.6914689"
"CPO","30","20260559","ok","0.6747585","0.0101813","0.6849428"
"SWO","1","20260530","ok","0.8361299","0.0102509","0.846384"
"SWO","2","20260531","ok","0.6777469","0.0105678","0.6883174"
"SWO","3","20260532","ok","0.6656884","0.0106778","0.6763688"
"SWO","4","20260533","ok","0.6665793","0.0109325","0.6775142"
"SWO","5","20260534","ok","0.6702651","0.0114468","0.6817149"
"SWO","6","20260535","ok","0.6856754","0.0108349","0.6965131"
"SWO","7","20260536","ok","0.6620414","0.0108205","0.672865"
"SWO","8","20260537","ok","0.6575816","0.010955","0.6685391"
"SWO","9","20260538","ok","0.6511646","0.010547","0.6617144"
"SWO","10","20260539","ok","0.6544851","0.0105512","0.6650399"
"SWO","11","20260540","ok","0.667413","0.0103988","0.6778147"
